,Coefficient,Std_Error,z_statistic,p_value,OR,CI_lower,CI_upper,significant
net_profit_to_assets,0.1806,0.1007,1.7929,0.073,1.1979,0.9833,1.4593,False
total_liabilities_to_assets,-0.0136,0.1221,-0.1112,0.9115,0.9865,0.7766,1.2532,False
working_capital_to_assets,0.0388,0.0346,1.1185,0.2634,1.0395,0.9713,1.1126,False
current_assets_to_short_liabilities,-0.1429,0.0554,-2.5784,0.0099,0.8669,0.7776,0.9663,True
cash_to_current_liabilities,-0.0299,0.0197,-1.5192,0.1287,0.9705,0.9338,1.0087,False
retained_earnings_to_assets,0.0638,0.0227,2.8102,0.005,1.0659,1.0195,1.1144,True
ebit_to_assets,-0.1594,0.1022,-1.5597,0.1188,0.8527,0.6979,1.0417,False
book_value_equity_to_liabilities,0.0327,0.0556,0.5886,0.5561,1.0333,0.9266,1.1522,False
sales_to_assets,-0.005,0.0209,-0.2383,0.8117,0.995,0.9552,1.0366,False
equity_to_assets,0.034,0.1211,0.2811,0.7786,1.0346,0.816,1.3118,False
pd_system,0.9626,0.0756,12.7328,0.0,2.6184,2.2578,3.0365,True
grade_ordinal,0.2024,0.0857,2.3626,0.0181,1.2244,1.0351,1.4483,True
grade_diff,-0.0767,0.0272,-2.8226,0.0048,0.9261,0.8781,0.9768,True
override_flag,-0.0444,0.0249,-1.7817,0.0748,0.9566,0.911,1.0045,False
