feature,mean_abs_shap,rank
pd_system,0.88467026,1
Attr27,0.7389104,2
Attr46,0.4040888,3
cash_to_current_liabilities,0.39323577,4
Attr34,0.34227479,5
Attr24,0.27115235,6
Attr58,0.23365511,7
Attr21,0.22151113,8
Attr35,0.15039445,9
Attr22,0.1385195,10
Attr42,0.1331815,11
Attr29,0.11879152,12
retained_earnings_to_assets,0.11613008,13
Attr19,0.10271627,14
Attr39,0.10179553,15
Attr40,0.09997693,16
Attr56,0.09958714,17
grade_ordinal,0.09830219,18
Attr25,0.09242671,19
sales_to_assets,0.08527794,20
Attr33,0.08457346,21
Attr36,0.08228316,22
Attr47,0.08012743,23
Attr55,0.07873978,24
Attr60,0.070216514,25
ebit_to_assets,0.06810874,26
Attr30,0.06240653,27
Attr20,0.05899978,28
Attr32,0.057928797,29
Attr13,0.05506152,30
Attr61,0.054281194,31
Attr59,0.05059591,32
Attr37,0.049307644,33
Attr12,0.048819773,34
working_capital_to_assets,0.04512027,35
Attr49,0.04370249,36
Attr41,0.043693252,37
Attr15,0.03859152,38
Attr38,0.0379533,39
current_assets_to_short_liabilities,0.03286578,40
Attr44,0.032549925,41
grade_diff,0.030626897,42
Attr11,0.030088851,43
Attr45,0.027264059,44
Attr62,0.02660153,45
Attr50,0.02519054,46
Attr48,0.024042165,47
Attr63,0.022806766,48
Attr16,0.021881998,49
Attr57,0.021309584,50
Attr23,0.020387752,51
Attr28,0.020132722,52
net_profit_to_assets,0.019673247,53
Attr26,0.019245772,54
Attr54,0.018017922,55
equity_to_assets,0.017726813,56
Attr51,0.017267685,57
Attr64,0.01635156,58
Attr52,0.015494809,59
Attr43,0.01446518,60
total_liabilities_to_assets,0.013332247,61
Attr53,0.012579989,62
Attr18,0.011612028,63
book_value_equity_to_liabilities,0.011608717,64
Attr31,0.011373235,65
Attr17,0.005490762,66
Attr14,0.0050157486,67
override_flag,0.00049870595,68
